InvoiceNo,InvoiceDate,Total,CustomerId,Products
568517,2024-12-29T23:02:52.975Z,29265,118930,ALL
568519,2024-12-29T23:02:52.647Z,17846,86527,ALL
568520,2024-12-29T23:02:38.355Z,17846,14784,ALL
568524,2024-12-29T23:06:43.975Z,17846,118932,ALL
568525,2024-12-29T23:04:32.994Z,17846,118931,ALL
568526,2024-12-29T23:08:33.086Z,17846,104049,ALL
568527,2024-12-29T23:12:53.502Z,17846,25401,ALL
568530,2024-12-29T23:17:41.551Z,17846,77860,ALL
568533,2025-01-02T00:53:04.891Z,28008,119453,ALL
568535,2024-12-29T23:54:08.128Z,34105,17610,ALL
568545,2024-12-30T21:03:51.543Z,17846,118936,ALL
568552,2024-12-29T23:55:00.917Z,-9998,118935,ALL
568554,2024-12-30T07:45:12.140Z,17846,29036,ALL
568555,2024-12-30T00:07:49.395Z,17846,4497,ALL
568564,2024-12-30T02:35:58.631Z,17846,20775,ALL
568570,2024-12-30T03:48:35.548Z,25975,118937,ALL
568573,2024-12-30T04:33:09.949Z,19879,28059,ALL
568575,2024-12-30T04:43:19.599Z,17846,3280,ALL
568580,2024-12-30T05:37:49.488Z,11952,118939,ALL
568581,2024-12-30T05:35:22.877Z,13821,118938,ALL
568583,2024-12-30T15:38:24.805Z,17846,100291,ALL
568586,2024-12-30T05:46:16.043Z,8942,118941,ALL
568589,2024-12-30T06:18:21.782Z,13821,118944,ALL
568591,2024-12-30T05:57:17.703Z,11951,118942,ALL
568599,2024-12-30T06:48:11.955Z,30040,107526,ALL
568600,2024-12-30T06:28:10.747Z,24553,28117,ALL
568601,2024-12-30T15:34:03.302Z,42235,119049,ALL
568604,2024-12-30T06:34:12.791Z,17846,107994,ALL
568605,2024-12-30T06:51:30.407Z,17846,43265,ALL
568606,2024-12-30T06:43:59.172Z,17846,118946,ALL
568607,2024-12-30T06:46:32.847Z,25975,93764,ALL
568608,2025-01-08T08:37:41.255Z,18049,959,ALL
568618,2024-12-30T07:10:19.688Z,17846,100271,ALL
568619,2024-12-30T07:04:36.887Z,22520,50945,ALL
568620,2024-12-30T07:07:06.314Z,17846,111970,ALL
568622,,42845,97197,ALL
568626,2024-12-30T07:18:58.140Z,17846,118947,ALL
568628,2024-12-30T07:20:34.191Z,11951,118948,ALL
568630,2024-12-30T07:27:52.884Z,17846,91646,ALL
568638,2025-01-01T19:20:28.008Z,17846,115015,ALL
568644,2024-12-30T07:38:28.942Z,17846,104692,ALL
568646,2024-12-30T07:45:17.606Z,17846,116642,ALL
568647,2024-12-30T07:44:03.488Z,17846,118949,ALL
568649,2024-12-31T09:48:37.020Z,17846,76112,ALL
568652,2024-12-30T07:51:55.481Z,17846,74861,ALL
568653,2024-12-30T07:51:10.259Z,17846,21028,ALL
568656,2024-12-30T07:57:05.680Z,-34997,118950,ALL
568658,2024-12-30T07:52:11.096Z,22520,17475,ALL
568660,2024-12-30T09:46:15.782Z,17846,118964,ALL
568661,2024-12-30T07:53:03.559Z,17846,10876,ALL
568664,2024-12-30T07:54:10.823Z,17846,99999,ALL
568668,2024-12-30T08:00:13.855Z,17846,97913,ALL
568672,2024-12-30T08:04:08.278Z,7886,65019,ALL
568676,2024-12-30T08:06:43.186Z,17846,7184,ALL
568677,2024-12-30T10:12:28.747Z,6667,118967,ALL
568682,2024-12-30T08:14:19.054Z,26583,112995,ALL
568684,2024-12-30T08:47:19.822Z,17846,118952,ALL
568685,2024-12-30T08:11:52.500Z,17641,118951,ALL
568688,2024-12-30T08:18:45.831Z,20772,73770,ALL
568689,2024-12-30T08:15:57.406Z,17846,108063,ALL
568690,2024-12-30T08:36:13.755Z,17846,80122,ALL
568691,2024-12-30T08:18:08.534Z,17846,118953,ALL
568692,2024-12-30T08:22:39.597Z,17846,118955,ALL
568693,2024-12-30T08:24:39.899Z,17846,118956,ALL
568697,2024-12-30T08:23:54.735Z,17846,16619,ALL
568702,2024-12-30T08:28:52.433Z,17846,118957,ALL
568703,2024-12-30T08:36:33.012Z,17846,78143,ALL
568706,2024-12-30T08:47:12.648Z,17846,118958,ALL
568708,2024-12-30T12:24:54.700Z,17846,16109,ALL
568709,2024-12-30T08:45:26.281Z,10122,118960,ALL
568710,2024-12-30T08:42:12.861Z,36138,43319,ALL
568711,2024-12-30T08:42:02.655Z,17846,59747,ALL
568712,2024-12-30T08:42:38.617Z,24960,118959,ALL
568714,2025-01-02T11:15:48.523Z,17846,119310,ALL
568715,2024-12-30T11:04:25.419Z,8903,114290,ALL
568719,2024-12-30T19:58:29.403Z,27601,29599,ALL
568722,2025-01-01T15:39:35.623Z,17846,83052,ALL
568723,2024-12-30T09:05:36.489Z,17846,86054,ALL
568728,2024-12-30T09:01:22.028Z,17846,52622,ALL
568730,2024-12-30T09:07:28.130Z,17846,118962,ALL
568734,2024-12-30T20:06:09.059Z,-34997,119155,ALL
568735,2024-12-30T09:21:41.761Z,18543,118963,ALL
568737,2024-12-30T09:11:22.614Z,17846,46520,ALL
568744,2024-12-30T09:22:15.862Z,17846,104039,ALL
568746,2025-01-01T17:32:42.683Z,17846,110380,ALL
568750,2024-12-30T09:26:51.756Z,17846,4976,ALL
568751,2024-12-30T09:26:48.149Z,17846,100016,ALL
568755,2024-12-30T09:31:17.406Z,17846,118965,ALL
568760,2024-12-30T09:33:00.662Z,17846,13510,ALL
568762,2024-12-30T09:58:06.115Z,22520,103133,ALL
568765,2024-12-30T09:58:42.531Z,18862,118966,ALL
568766,2024-12-30T09:42:20.925Z,19879,41456,ALL
568767,2024-12-30T11:47:41.616Z,17846,118978,ALL
568770,2024-12-30T09:53:21.221Z,18049,115329,ALL
568771,2024-12-30T09:48:00.516Z,17846,102668,ALL
568772,2024-12-30T09:49:17.208Z,17846,65465,ALL
568773,2024-12-30T09:51:34.375Z,18049,63093,ALL
568775,2025-01-01T21:21:43.597Z,17846,117650,ALL
568776,2024-12-30T09:51:39.258Z,17846,94092,ALL
568778,2024-12-30T09:51:44.999Z,17846,45145,ALL
568779,2024-12-30T09:56:04.907Z,10529,77373,ALL
568780,2024-12-30T10:36:04.278Z,68248,118970,ALL
568787,2024-12-30T10:02:09.246Z,17846,117800,ALL
568789,2024-12-30T10:05:09.522Z,17846,39217,ALL
568793,2024-12-30T10:13:06.974Z,17846,118968,ALL
568795,2024-12-30T10:18:20.563Z,17846,61103,ALL
568798,2024-12-30T10:22:32.405Z,22520,118969,ALL
568800,2024-12-30T10:23:14.799Z,-8372,42092,ALL
568801,2024-12-31T18:03:31.613Z,17846,30312,ALL
568805,2024-12-30T15:53:39.845Z,17846,119059,ALL
568807,2024-12-30T10:45:41.777Z,24960,110777,ALL
568809,2024-12-30T10:42:03.758Z,17846,116101,ALL
568812,2024-12-30T10:41:07.376Z,17846,12714,ALL
568813,2024-12-30T10:40:53.595Z,-9998,27339,ALL
568817,2024-12-30T10:47:22.348Z,17846,62520,ALL
568820,2024-12-30T10:51:33.578Z,17846,118972,ALL
568821,2024-12-30T10:46:11.093Z,17846,86053,ALL
568822,2024-12-30T10:45:24.595Z,30040,25797,ALL
568829,2024-12-30T10:45:36.198Z,18455,27339,ALL
568830,2024-12-30T10:50:27.836Z,17846,103284,ALL
568832,2024-12-30T10:55:24.177Z,17846,80662,ALL
568835,2024-12-30T11:28:49.021Z,17846,71786,ALL
568837,2024-12-30T10:52:19.275Z,7886,107100,ALL
568838,2024-12-30T14:32:20.550Z,17846,82353,ALL
568840,2024-12-30T10:56:35.861Z,17846,46515,ALL
568841,2024-12-31T13:58:07.253Z,17846,118971,ALL
568842,2024-12-30T11:00:53.364Z,17846,60433,ALL
568843,2024-12-30T11:06:24.970Z,22520,118973,ALL
568844,2024-12-30T11:00:25.086Z,17846,118974,ALL
568847,2024-12-30T16:43:49.568Z,34714,119079,ALL
568850,2024-12-30T11:05:57.788Z,17846,48736,ALL
568854,2025-01-05T15:11:34.715Z,17846,112545,ALL
568855,2024-12-30T11:05:08.570Z,17846,56048,ALL
568860,2024-12-30T11:22:03.249Z,11137,118976,ALL
568865,2024-12-30T11:20:07.645Z,17846,118975,ALL
568866,2024-12-30T11:19:27.441Z,17846,32054,ALL
568867,2024-12-30T11:16:49.241Z,17846,107507,ALL
568874,2024-12-30T20:31:57.369Z,15609,118191,ALL
568875,2024-12-31T10:42:06.519Z,17846,21504,ALL
568878,2024-12-30T11:34:32.242Z,17846,91188,ALL
568881,2024-12-30T11:33:03.932Z,18049,84701,ALL
568882,2024-12-30T11:34:37.962Z,17846,56011,ALL
568883,2024-12-30T11:49:41.973Z,22520,118977,ALL
568885,2024-12-30T11:51:53.168Z,22519,118979,ALL
568886,2024-12-30T11:40:11.060Z,17846,109150,ALL
568887,2024-12-30T11:44:04.505Z,17846,94594,ALL
568888,2024-12-30T11:43:17.016Z,34105,103135,ALL
568889,2024-12-30T11:45:54.439Z,17846,41589,ALL
568891,2024-12-30T11:46:11.962Z,17846,63565,ALL
568892,2024-12-30T11:47:33.156Z,15407,84459,ALL
568893,2024-12-30T11:46:08.377Z,17846,43312,ALL
568894,2024-12-30T13:04:05.521Z,17846,113369,ALL
568895,2024-12-30T11:57:47.968Z,17846,102752,ALL
568896,2024-12-30T11:48:15.227Z,17846,65509,ALL
568901,2024-12-30T11:53:14.717Z,17846,118980,ALL
568909,2024-12-30T12:02:17.914Z,8606,91038,ALL
568910,2024-12-30T12:27:43.958Z,10122,118982,ALL
568913,2024-12-30T13:26:14.824Z,24960,106411,ALL
568914,2024-12-30T12:27:05.993Z,9512,47244,ALL
568916,2024-12-30T12:06:20.063Z,17846,103686,ALL
568922,2025-01-02T15:32:18.183Z,17846,112943,ALL
568923,2024-12-30T12:19:00.112Z,24146,118983,ALL
568924,2024-12-31T17:38:25.077Z,17846,112108,ALL
568927,2024-12-30T12:51:48.966Z,18455,42599,ALL
568928,2024-12-30T12:25:21.548Z,17846,23154,ALL
568929,2024-12-30T12:24:20.776Z,17846,94567,ALL
568931,2024-12-30T12:29:51.245Z,17846,82258,ALL
568933,2024-12-30T12:33:24.457Z,17846,99970,ALL
568936,2024-12-30T12:47:40.693Z,17846,118984,ALL
568940,2024-12-30T12:38:57.991Z,17846,109011,ALL
568947,2024-12-30T12:55:25.845Z,34105,50050,ALL
568951,2024-12-30T12:53:13.805Z,17846,118985,ALL
568952,2024-12-30T12:51:40.109Z,17846,52397,ALL
568953,2024-12-30T12:49:08.735Z,17846,105819,ALL
568954,2025-01-02T11:06:20.829Z,17846,48968,ALL
568958,2024-12-30T13:17:02.053Z,18455,118987,ALL
